date,Asset A,Asset B,Market
18/07/2022,-0.20280313,-0.397845292,-0.236741848
19/07/2022,-0.231684639,-0.374387423,-0.289343108
20/07/2022,-0.469675008,-0.682619445,0.060451664
21/07/2022,-0.119422575,0.102638237,0.058961924
22/07/2022,0.962745695,1.127085433,0.451081889
25/07/2022,0.417491916,0.682190115,1.784758983
26/07/2022,1.797371623,2.303682216,2.444680303
27/07/2022,0.873338321,0.873712914,0.537462669
28/07/2022,-0.09443402,-0.45668663,-0.641969902
29/07/2022,-0.559950353,-1.167157363,-0.807833178
01/08/2022,-0.100467419,0.301328091,1.011772961
02/08/2022,0.249542563,0.603868762,0.449332319
03/08/2022,-0.537427707,-0.36123452,-0.617954073
04/08/2022,0.073883172,-0.120879452,0.005497517
05/08/2022,-0.009933111,-0.48173755,-0.306204907
08/08/2022,-0.358460549,-0.511418195,-0.343765374
09/08/2022,-0.428521457,-0.362440837,-0.092307049
10/08/2022,1.24288823,1.572328433,1.408263749
11/08/2022,0.688173647,0.529939591,0.291399513
12/08/2022,-0.698985922,-0.514122058,-0.214403259
15/08/2022,0.940445284,0.851369303,1.510517333
16/08/2022,1.825755577,2.021710832,0.621558017
17/08/2022,-0.25314424,0.352951018,-0.008514873
18/08/2022,0.83537047,1.301525433,1.648192915
19/08/2022,0.068656173,-0.014472172,0.381523243
22/08/2022,3.010460187,2.620451601,3.491906275
23/08/2022,-1.648807997,-0.148613488,-0.774588506
24/08/2022,1.764990504,1.119669741,2.324496387
25/08/2022,2.141177252,2.458501689,2.864384591
26/08/2022,0.749388866,2.367455914,1.662212236
29/08/2022,-2.857273964,-4.93211392,-6.177411127
30/08/2022,-1.191534225,-1.860227823,-1.414172249
31/08/2022,-3.101656585,-2.149178514,-1.807483984
01/09/2022,-0.434735309,-0.411733476,0.215556276
02/09/2022,-1.210210556,-1.094606166,-1.988537812
05/09/2022,0.857822268,1.422549498,2.137278927
06/09/2022,-1.063754232,-1.544359292,-0.404999215
07/09/2022,-1.475282549,-0.410446382,-1.73904985
08/09/2022,-0.854022554,-0.830903402,0.438018078
09/09/2022,-0.323778174,-0.499117007,-0.891043831
12/09/2022,-1.152130959,-0.848196365,-1.094444728
13/09/2022,0.082542759,0.013585902,0.531011993
14/09/2022,1.357109984,1.563562047,1.283008149
15/09/2022,0.030428508,-0.044365291,-0.238494977
16/09/2022,-1.27444268,-1.919736417,-1.768855415
19/09/2022,-0.69798367,-0.757231132,-0.362723303
20/09/2022,-0.338817131,-0.042458183,0.792403683
21/09/2022,0.691273981,0.748069287,-0.296701275
22/09/2022,-0.01670737,-0.198167097,-0.154403641
23/09/2022,-0.545267155,-1.081234146,-0.132772331
26/09/2022,-0.622316495,-0.384772941,-0.791118172
27/09/2022,0.52107577,0.519475122,0.834642759
28/09/2022,0.739421613,0.901021677,1.43855435
29/09/2022,-0.82493475,-1.266292048,-1.320546386
30/09/2022,-2.031327812,-1.639372002,-1.004510181
03/10/2022,-3.918300608,-1.369916367,-1.269125935
04/10/2022,-0.437404288,-0.704912737,-0.532483625
05/10/2022,0.877310468,0.672631254,0.790228857
06/10/2022,0.395540978,-0.029226869,0.136222594
07/10/2022,0.005356581,-1.020695446,-1.326661428
10/10/2022,-0.896484745,-0.5233893,-0.14129237
11/10/2022,-1.003856985,0.016202799,0.181598368
12/10/2022,-1.329183877,-0.129903859,0.234302333
13/10/2022,-0.499598691,-0.209416128,-0.441934473
14/10/2022,-0.76129916,-0.447190224,-0.823761725
17/10/2022,-2.660228228,-1.390523238,-0.980891053
18/10/2022,-0.385303326,-0.902555896,-1.033776746
19/10/2022,0.221810108,0.110182973,-0.049916179
20/10/2022,0.454782824,0.78926404,1.034670296
21/10/2022,-0.924569909,-0.959783425,-0.957332847
24/10/2022,-4.085217021,-0.914898209,-1.018077086
25/10/2022,-0.719986092,-0.134843865,0.044147997
26/10/2022,0.07306561,-0.124565281,0.322819173
27/10/2022,1.647186354,0.676016413,0.220033225
28/10/2022,1.319400177,0.513917079,0.351623478
31/10/2022,-4.891337159,-2.412839875,-1.162374855
01/11/2022,-0.304983604,-0.618510717,-0.520750353
02/11/2022,1.049026231,0.35561414,0.708206277
03/11/2022,1.055822247,-0.043347304,-0.030699279
04/11/2022,-0.730818748,-0.546879107,-0.789309494
07/11/2022,-4.864746127,-1.053443277,-0.379504719
08/11/2022,-0.359591805,0.393617999,0.634294114
09/11/2022,-0.267554614,-0.352243256,-0.376316297
10/11/2022,0.057931255,-0.26109455,0.023344789
11/11/2022,-1.206140372,-1.322581654,-1.191984093
14/11/2022,-0.684262037,0.499306434,1.209493676
15/11/2022,0.625113281,0.833074686,0.788691156
16/11/2022,-0.577305219,-0.752101555,-0.775226499
17/11/2022,-0.886836458,-0.314747961,-0.102550921
18/11/2022,-0.41813927,-0.16080036,0.227193681
21/11/2022,1.151681401,1.1879785,0.047977752
22/11/2022,0.393855211,0.502087356,0.274348362
23/11/2022,-1.00181834,0.638072057,0.78552653
24/11/2022,-0.455956898,-0.403649959,-0.460166316
25/11/2022,-0.155432458,0.317260305,0.046459904
28/11/2022,-0.735971706,-0.374852666,-0.087114065
29/11/2022,0.854156613,1.623207723,0.726920236
30/11/2022,-0.186152843,0.552055498,0.828502597
01/12/2022,0.172165806,-0.313839584,-0.579054236
02/12/2022,-0.34966764,-0.376010876,-0.301579086
05/12/2022,-0.905803269,-0.289609182,-0.070967615
06/12/2022,0.044712543,0.763073389,0.314170832
07/12/2022,0.394882964,1.347127158,0.898280625
08/12/2022,-0.981659158,-0.994295855,-0.865121587
